,radx_project,project_title,awardee,project_number,pNum_link,foa,foa_link,summary
10,RADx-UP,COVID-19 Treatment Cascade Optimization Study,University of Illinois at Urbana- Champaign,1U01AI169469-01,https://reporter.nih.gov/search/ZAX4yq8B20KpM9txo959kQ/project-details/10447441,RFA-OD-21-008,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-21-008.html,This project is a hybrid effectiveness implementation study where community members and researchers will work together as partners with community-based organizations in Illinois and in New Jersey to test an intervention to increase COVID-19 testing and adherence to CDC COVID-19 treatment and prevention recommendations.
11,RADx-UP,An Adaptive Intervention Trial of Home Testing with Behavioral Nudges for Improving COVID-19 Testing and Prevention among People Affected by Diabetes,Emory University,1U01DK132737-01,https://reporter.nih.gov/search/rvJNAg94cE-Fjhv815ybzg/project-details/10447445,RFA-OD-21-008,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-21-008.html,"This project will build upon Phase I of “Promoting Engagement and COVID-19 Testing for Health” (Project PEACH) and will leverage an existing partnership between Project PEACH and the Georgia Community Engagement Alliance Against COVID-19 Disparities study to understand, design, and test in a randomized, adaptive intervention trial of at-home testing, with or without individually-targeted, text message behavioral nudges aimed at increasing COVID-19 testing uptake and preventive behaviors, including vaccination. The study populations will be 600 adults affected with diabetes."
12,RADx-UP,Identifying COVID-19 vaccine deserts using Machine Learning and Geospatial Analyses to target Community-engaged testing for vulnerable rural populations to prevent localized outbreaks,West Virginia University,1U01MD017419-01,https://reporter.nih.gov/search/thEucKAHlkeuvYuvABRFUA/project-details/10446844,RFA-OD-21-008,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-21-008.html,"This study builds on a Phase I project and utilizes machine learning with time series modeling and geospatial methodologies to identify communities with high COVID-19 transmissibility with lower vaccine uptake. This project will engage communities by implementing a novel community-engaged testing delivery model that leverages deep connections to place, common to persons living in Appalachia, while building strong connections with local first responders to dynamically tailor testing activities and establish a grass roots network to conduct future disease screening studies in vulnerable rural populations."
13,RADx-UP,Community Mistrust and Measures of Institutional Trustworthiness (COMMIT),"University of Maryland, Baltimore",1U01MD017437-01,https://reporter.nih.gov/search/oOo3gdEBokuP7axW4YxtsQ/project-details/10447250,RFA-OD-21-009,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-21-009.html,"This project will employ a continuous engagement approach to co-design a sustainable model for community engaged research (CEnR) partnerships with an African American (AA) church (MLBC), a chain pharmacy (CVS Health) and a CEnR leading academic program to address COVID-19 for AA and low socioeconomic status populations."
14,RADx-UP,COVID-19 and Southeast Asian Americans (SEAAs),"California State University, Northridge",1U01MD017434-01,https://reporter.nih.gov/search/aCe14QPutUKdIP1beYm-dQ/project-details/10447516,RFA-OD-21-009,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-21-009.html,"This project aims to understand and address multi-level social, ethical, and behavioral implications of COVID-19 testing, vaccination, and its sequelae among SEAAs in the Greater Los Angeles area through a community-based approach. They will determine barriers that hinder or facilitate testing and vaccination and identify common potential gaps or assets in service delivery and areas of resiliency between groups."
15,RADx-UP,Reducing Ethical and Social Prejudicial Effects of COVID-19 Testing in Underserved Populations (RESPECT-UP),University of Alabama at Birmingham,1U01MD017432-01,https://reporter.nih.gov/search/Dv5GhU8c4UCbT-CnLhefZQ/project-details/10446120,RFA-OD-21-009,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-21-009.html,"This community-engaged project aims to understand factors surrounding COVID-19 testing (e.g. access to testing, employment, food and housing insecurity) and stigma drivers (e.g. lack of knowledge, misinformation, health policies, institutional practices) in vulnerable urban and rural African American communities in Alabama. In collaboration with the community, they will develop and disseminate RESPECT-UP toolkits to study multilevel strategies to reduce COVID-19 disparities and will evaluate their effectiveness in primary care settings."
16,RADx-UP,"SARS-CoV-2 in Correctional Populations: A collaborative, ethical approach to application of wastewater-based surveillance",Emory University,1U01DA056000-01,https://reporter.nih.gov/search/8U5IR5i6Ikmk0Y-43TS7_A/project-details/10447465,RFA-OD-21-009,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-21-009.html,"This study will use qualitative and quantitative approaches with stakeholders to inform, implement, and evaluate ethical, acceptable COVID-19 wastewater-based surveillance (WBS) in four jails. Focus groups with four jail’s leaders, jail workers, and people with recent lived jail experience will be used to inform implementation of WBS strategies in those jails."
17,RADx-UP,"REACH-OUT (Research, Engagement and Action on COVID-19 Health Outcomes via Testing)","University of Colorado, Denver",1U01MD017436-01,https://reporter.nih.gov/search/wRVl4agWtE-Hp7MitoXoqQ/project-details/10447388,RFA-OD-21-009,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-21-009.html,"This study will use a participatory action research approach to engage underserved and socially and/or medically vulnerable communities in Colorado to design, implement, and evaluate interventions to improve reach, uptake, and sustainability of COVID-19 testing and contact tracing."
18,RADx-UP,"Identifying and addressing critical social, ethical, and behavioral factors associated with COVID-19 testing and vaccination among Spanish speakers",Wake Forest University Health Sciences,1U01MD017431-01,https://reporter.nih.gov/search/tskSvFBab0y3oxprWjZA7g/project-details/10446394,RFA-OD-21-009,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-21-009.html,This study is a mixed-methods study that includes rigorous qualitative methods to refine and test NuestraSaludSegura (Our Safe Health) based on the evidence-based weCare intervention that integrates peer navigation and mHealth to increase participation and care engagement to determine the impact of the intervention on COVID-19 testing and vaccination among Spanish-speaking Latin communities.
19,RADx-UP,Community Activation to Transform Local systems (CATALYST),"University of California, Irvine",1U01MD017433-01,https://reporter.nih.gov/search/qnTVPmoz8EeAz_288Rl7zA/project-details/10447526,RFA-OD-21-009,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-21-009.html,"This study will examine barriers and processes of change in COVID-19 responses and chronic disease management interventions during the pandemic by assessing systemic factors that enhance inequities in COVID-19 testing, cases, and vaccines in areas with high social vulnerability to COVID-19, which will be analyzed to determine how advocacy efforts can be implemented by community-based organizations to shape their COVID-19 response."
20,RADx-UP,"Evidence based Interventions to address Structure, System and Population Inequities in COVID-19 Screening",University of Vermont and State Agricultural College,1U01CA271329-01,https://reporter.nih.gov/search/Sx7Sy3GdjkymcyTt05fSxw/project-details/10447381,RFA-OD-21-009,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-21-009.html,"This study will identify social, behavioral, structural, and policy factors that are sources of COVID-19 disparities and then test an innovative intervention to decrease COVID-19 testing inequalities and will focus on the accessibility, acceptability and use of COVID-19 testing resources in underserved and vulnerable populations in Northern New England."
21,RADx-UP,"Ethno-epidemiology of HCV, HIV and Overdose associated with Drug Markets and Drug Tourism","University of California, San Diego",3R01DA049644-02S2,https://reporter.nih.gov/search/VqBwruq4lkWMS3ohRmE8RQ/project-details/10409999,NOT-OD-21-103,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-103.html,"This project aims to increase access and uptake of COVID-19 testing and vaccination among people who inject drugs, a population highly vulnerable to COVID-19. The project will look at barriers and predictors of COVID-19 testing and vaccination and adapt or develop an intervention to improve their uptake, which will be piloted among a subgroup of 150 participants who have not had COVID-19 vaccination or testing."
22,RADx-UP,Addressing COVID-19 Testing Disparities in Vulnerable Populations Using a Community JITAI (Just in Time Adaptive Intervention) Approach - Phase II,University of Texas Health Science Center at Houston,3UL1TR003167-03S3,https://reporter.nih.gov/search/R-1H9n_hGEmhLrAfXUP1sg/project-details/10414681,NOT-OD-21-103,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-103.html,"Building on RADx-UP Phase I work, and partnerships and resources of the Center for Clinical and Translational Science (CCTS), the goal of the project is to identify dynamic disease hotspots and testing deserts in three regions of Texas to improve and expand multilevel just-in-time adaptive intervention strategies to reach vulnerable populations experiencing inequities related to COVID-19."
23,RADx-UP,Psychosocial Factors and Lupus Disease Progression Among African American Women,Tulane University of Louisiana,3UL1TR003167-03S3,https://reporter.nih.gov/search/R-1H9n_hGEmhLrAfXUP1sg/project-details/10414681,NOT-OD-21-103,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-103.html,"This project will identify facilitators and barriers to COVID-19 testing and vaccination and evaluate the efficacy of a peer-outreach/education intervention, including a testing/vaccine concierge program for people living with systemic lupus erythematosus (SLE) and members of their social networks—a high priority population that is disproportionately African American and women."
24,RADx-UP,Community-engaged partnership to reduce COVID-19 through self-testing in Hispanic and NHPI communities,University of Arkansas for Medical Sciences,3R01MD013852-03S2,https://reporter.nih.gov/search/_2p6R7IBOE2rIXF5Jv7i_g/project-details/10409310,NOT-OD-21-103,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-103.html,This project will implement and evaluate access and uptake strategies of two self-testing distribution approaches (local community clinics and community-based non-profit organizations) to understand effectiveness and impact for vulnerable populations.
25,RADx-UP,"Understanding Factors Influencing COVID-19 Testing and Vaccination in Immigrant, Low-income and Homeless Populations, and Testing Targeted Interventions",Maine Health,3U54GM115516-05S2,https://reporter.nih.gov/search/vJS_XT4l9EyWD0quNQE-jw/project-details/10413438,NOT-OD-21-103,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-103.html,"The project will work with community partners to create and evaluate the impact of a public health intervention in the area of Cumberland County, Maine, to provide outreach, testing, and vaccination education to a large community of immigrants from sub-Saharan Africa, the Middle East, and Central America, higher-risk low-income people accessing a public health facility (with a sexually transmitted infections clinic, needle exchange, and a free clinic), and individuals experiencing homelessness. This will be a longitudinal study to understand beliefs about and knowledge of COVID-19, and barriers and beliefs about testing and vaccination."
26,RADx-UP,"C2SPARC: Implementing mobile, POC COVID-19 testing in partnership with a community-based organization to reach women who use drugs",Johns Hopkins University,3R01DA041243-05S3,https://reporter.nih.gov/search/X4g-f-qghECCzIYClhvUKQ/project-details/10408931,NOT-OD-21-103,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-103.html,"The project will examine predisposing and enabling predictors of uptake of point-of-care COVID-19 testing among a cohort of women who use drugs (N=250) in Baltimore, MD over six months."
27,RADx-UP,Optimizing SARS-CoV-2 Testing and Promotores Interventions to Serve Latinx Communities,University of Oregon,3P50DA048756-03S3,https://reporter.nih.gov/search/NwZ1NkG8r0irZLkOPqkJJg/project-details/10414385,NOT-OD-21-103,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-103.html,"The project will continue to address the ongoing disparities in COVID-19 cases among underserved Latinx populations in Oregon by collaborating with state, county, and community partners to optimize testing locations across the state of Oregon and deliver a culturally tailored health intervention to increase testing, improve health behaviors, and reduce vaccine hesitancy among Latin individuals."
28,RADx-UP,Eliminating COVID-19 disparities in partnership with underserved/vulnerable transnational communities of Arizona,Arizona State University – Tempe Campus,3U54MD002316-15S2,https://reporter.nih.gov/search/xhun_cW8jEilEc7x2n3-zQ/project-details/10414714,NOT-OD-21-103,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-103.html,This project will inform public health approaches on how to make COVID-19 testing more readily available to farm workers and other vulnerable and underserved communities living and working along the Arizona-Mexico border region.
29,RADx-UP,RI-Center for Clinical and Translational Science,Brown University,3U54GM115677-06S2,https://reporter.nih.gov/search/glA49qJ6006rURC3Ij0iWw/project-details/10413517,NOT-OD-21-103,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-103.html,"This project aims to identify vaccination rates relative to COVID-19 positivity rates for high-risk pediatric populations, determine barriers to SARS-CoV-2 testing and community hesitancy to COVID-19 vaccination, and implement community-based approaches to increase testing and vaccination rates for high-risk children."
30,RADx-UP,Community-Engaged COVID-19 Interventions to Protect and Monitor Children,University of Chicago,R01ES028615-07S1,https://reporter.nih.gov/search/LGQ92MxbmkKwJm3YRXgikA/project-details/10403857,NOT-OD-21-101,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-101.html,"This project addresses COVID-19 testing and vaccination hesitancy and uptake issues in vulnerable populations (e.g., low-income Black and Latinx people in the Chicagoland metro area) by partnering with a community organization to control COVID-19 spread in Chicago."
31,RADx-UP,Reaching Communities through the Design of Information Visualizations (ReDIVis) Toolbox to Address COVID-19 Vaccine Hesitancy and Uptake,Columbia University,P30NR016587-05S2,https://reporter.nih.gov/search/JFwRtFtZVUmL7G7Fm6D5mw/project-details/10403763,NOT-OD-21-101,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-101.html,"This project will expand work on designing culturally congruent, health literate infographics for use in the return of COVID-19 diagnostic and testing results from a current RADx-UP award to vaccine hesitancy and uptake. The project also will also add the inclusion of South Asians and Chinese Americans to the existing Latino/a and Black populations included in the project."
32,RADx-UP,COVID-19 Testing Model for Vulnerable Populations: Revision to Address Vaccine Hesitancy and Uptake,University of Alabama at Birmingham,U54MD000502-19S2,https://reporter.nih.gov/search/-2IsJ2nMFEq-1J-ZaMta_g/project-details/10403812,NOT-OD-21-101,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-101.html,This project will use results of formative work on COVID-19 vaccine hesitancy and uptake in Alabama conducted by their Obesity Health Disparities Research Center academic community engagement and dissemination core and Alabama Community Engagement Alliance Against COVID-19 (CEAL) to design and evaluate a multi-level (community-systems- interpersonal- individual) dissemination model to decrease vaccine hesitancy that can be incorporated into existing CEAL and RADx-UP community-level and individual efforts.
33,RADx-UP,UC Davis Environmental Health Sciences Core Center,University of California at Davis,P30ES023513-07S1,https://reporter.nih.gov/search/vOufDG-jMEmacwqBoAQGbA/project-details/10403897,NOT-OD-21-101,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-101.html,The project will use a three-tiered approach to address barriers to COVID-19 vaccination in predominantly Latino counties in the Central Valley of California. The three tiers include reducing vaccine hesitancy and improving vaccine uptake with continued testing and literacy-supported decision-making processes coupled with an evaluation of the impact of interventions on vaccine hesitancy.
34,RADx-UP,CATCH-UP Vaccines,University of Oklahoma Health Sciences Center,U54GM104938-09S3,https://reporter.nih.gov/search/nl5epJgw6kS_l7M3doyUgw/project-details/10403070,NOT-OD-21-101,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-101.html,"This project will unite academic and community partners to solve a dire need for SARS-CoV-2 vaccine uptake in rural, underserved minority, and at-risk populations. The project is an extension of the Oklahoma Shared Clinical Translational Resources project CATCH-UP (Community-engaged Approaches to Testing in Community and Healthcare settings for Underserved Populations) in partnership with community organizations who work with underserved minority and rural populations."
35,RADx-UP,Impact of Community Health Worker Home Deployment on COVID-19 Vaccine Confidence and Uptake,Emory University,P30DK111024-06S1,https://reporter.nih.gov/search/y4jqs7sdukiDOGcj7iVkxA/project-details/10403813,NOT-OD-21-101,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-101.html,"The project will collaborate with rural community partners and utilize locally developed and tested Georgia Community Engagement Alliance Against COVID-19 (CEAL) COVID-19 communication materials to enhance COVID-19 testing in addition to vaccine confidence and uptake in underserved populations most severely affected by COVID-19 disease. The primary goal of this study is to maximize effective outreach, education, and communication through Community Health Workers to improve COVID-19 vaccine confidence and uptake in underserved and vulnerable communities."
36,RADx-UP,RI-Center for Clinical and Translational Science,Brown University,U54GM115677-06S4,https://reporter.nih.gov/search/n78fHBqqv0-QarmGba3NVA/project-details/10403751,NOT-OD-21-101,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-101.html,"This project will enhance community engagement initiatives developed in RADx-UP Phase I to provide real-world data on vaccination, corroborated with patient-generated information, in underserved Hispanic/Latinx populations who face challenges due to many cultural, language, and social factors. The project will build on previous work to leverage the unique infrastructure of the Health Information Exchange (HIE) in Rhode Island (RI), which connects data across the entire RI healthcare ecosystem, to obtain clinical data for most people receiving care in RI including SARS-CoV-2 test results and vaccinations."
37,RADx-UP,Bridging the evidence-to-practice gap: Evaluating practice facilitation as a strategy to accelerate translation of a systems-level adherence intervention into safety net practices ,New York University School of Medicine,R01MD013769-03S2,https://reporter.nih.gov/search/5esK6eIpikurm_MTP_gWGw/project-details/10403758,NOT-OD-21-101,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-101.html,"The project will use a storytelling, narrative-based approach, to promote healthy behaviors to address the challenges with COVID-19 vaccination acceptability and uptake; and to break down resistance to health-related messages."
38,RADx-UP,Expanding population-level interventions to help more low-income smokers quit,Washington University,R01CA235773-03S2,https://reporter.nih.gov/search/QIphw1bp60WUFOKKCf10cw/project-details/10403887,NOT-OD-21-101,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-101.html,"The project will ask rent-relief helpline callers about COVID-19 vaccination and testing and evaluate strategies to help them with both. Initially, they will determine the COVID-19 vaccination rate of housing-unstable adults in St. Louis. The project will also evaluate the impact of targeted messages on unvaccinated callers’ intentions to get vaccinated, and to motivate in-home COVID-testing among those not interested in getting vaccinated."
39,RADx-UP,Increasing COVID-19 vaccine uptake through a patient navigation intervention among underserved populations,San Diego State University,U54CA132384-10S4,https://reporter.nih.gov/search/r5g_G3Tk4kOQ9ZfAJBvlbA/project-details/10403900,NOT-OD-21-101,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-101.html,"This project will use a cluster randomized crossover trial to test mobile and home-based testing strategies for increasing testing uptake among contacts, referred high-risk friends and family, and the broader community. The project will cover over 40,000 individuals by utilizing existing COVID-19 contact tracing and community partner infrastructure to reach individuals aged 12 and above exposed or at high-risk of COVID-19 exposure who may be less able to test."
40,RADx-UP,LA CaTS Supplement NOT-OD-21-101,LSU Pennington Biomedical Research Center,U54GM104940-06S4,https://reporter.nih.gov/search/udZgp543CUq22q1MpEPT6Q/project-details/10403313,NOT-OD-21-101,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-101.html,"The Louisiana Clinical and Translational Science (LA CaTS) Center will lead a community-engaged research project with faith-based organizations to determine solutions to decrease vaccine hesitancy and improve testing rates in Louisiana underserved populations. The project will work with these communities to develop strategies to convey accurate, unbiased health information regarding COVID-19 vaccinations and testing to the community."
41,RADx-UP,Impact of COVID-19 Testing and Mitigation on Equitable Return-to-School in the Second Largest U.S. School District,"University of California, Los Angeles​",1OT2HD108103-01,https://reporter.nih.gov/search/3Y0X44DkhkSEUcfNClgTtA/project-details/10406119,NOT-OD-21-097,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-097.html,"This project will show how COVID-19 surveillance testing influences secondary infection and school attendance and how it influences disparities in these outcomes associated with student characteristics, including poverty, race and ethnicity. The project will also study how surveillance testing influences disparities in parent perceptions of safety, decisions to return in-person, and daily attendance."
42,RADx-UP,Maximizing Child Health and Learning Potential: How to Promote A School Culture of Safety in the era of COVID-19 ,University of Miami​,1OT2HD108111-01,https://reporter.nih.gov/search/TwzeXYQ7rUaVF5KC3hdKnA/project-details/10405249,NOT-OD-21-097,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-097.html,This project will seek to develop and test the feasibility of an urban school COVID-19 testing protocol and health education and vaccine confidence initiative.
43,RADx-UP,Back to ECE Safely with SAGE: Reducing COVID-19 Transmission in Hispanic and Low-income Preschoolers,Arizona State University​,1OT2HD108101-01,https://reporter.nih.gov/search/XfJ10Ld3dU2MIg9IX7yMQw/project-details/10406124,NOT-OD-21-097,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-097.html,"This project will rapidly provide critical information about a novel, FDA-authorized, low-burden saliva COVID-19 PCR test for use in young children.  Additionally, the project will be testing ability of the Sustainability via Active Garden Education (SAGE) Outdoor education program best practices to reduce transmission risk."
44,RADx-UP,Mobile Health-Targeted SARS-CoV-2 Testing and Community Interventions to Maximize Migrant Children's School Attendance During the COVID-19 Pandemic,University of Nebraska Medical Center​,1OT2HD108106-01,https://reporter.nih.gov/search/MJcxApJQvkWQbqGX97uGOw/project-details/10406044,NOT-OD-21-097,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-097.html,"This project seeks to address critical gaps in public health mitigation and social responses faced by migrant children and their families living in rural Nebraska. The project will use mHealth-targeted, at-home salivary SARS-CoV-2 testing to identify cases of infection and employ mHealth social risk screening with linkage to public aid and community assistance for families suffering adverse social impacts related to COVID-19."
45,RADx-UP,Empowering Schools as Community Assets to Mitigate the Adverse Impacts of COVID-19,University of Hawaii at Manoa​,1OT2HD108105-01,https://reporter.nih.gov/search/pga2JhTJp0SUtkf3CM7jIw/project-details/10406093,NOT-OD-21-097,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-097.html,The project will leverage a recently funded RADx-UP award to refine and disseminate an integrative testing-education strategy for a state-wide model for safe and sustainable school opening.
46,RADx-UP,Communities Fighting COVID!: Returning Our Kids Back to School Safely,San Diego State University,1OT2OD032111-01,https://reporter.nih.gov/search/GgRT-8zvNkmRKTMZykeHUw/project-details/10406100,NOT-OD-21-097,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-097.html,"The project will evaluate at-home and on-site testing and will evaluate a family-based model of testing in Hispanic/Latino, Asian American, and socioeconomically disadvantaged populations."
47,RADx-UP,SCALE-UP Counts: A Health Information Technology Approach to Increasing COVID-19 Testing in Elementary and Middle Schools Serving Disadvantaged Communities,University of Utah,1OT2OD032103-01,https://reporter.nih.gov/search/Gn0-NFloTUG4qfFK0gVciw/project-details/10405845,NOT-OD-21-097,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-097.html,This project will address key testing challenges in schools by building on collaborations with school districts and the Utah Department of Health. The project will implement and test a well-developed and scalable health information technology approach that delivers automated text messages regarding COVID-19 testing to students' parents.
48,RADx-UP,"Social, Ethical, and Behavioral Factors in the Return to School among Underserved Communities in Maryland ",Johns Hopkins University,1OT2OD032101-01,https://reporter.nih.gov/search/uVoiGEBAFUeN5EhK8VZAKw/project-details/10405678,NOT-OD-21-097,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-097.html,"The goal of this project is to examine social, ethical, and behavioral factors associated with parents of K-8 students’ willingness to return their children to in-person school, to remain in school, and their support for, and compliance with, COVID-19 testing and other mitigation strategies."
